X,Y,Name,Depth,Coast,icon_url
57.388833,-20.157433,ALBION I,"1280",2.30,./0.png
57.381517,-20.197817,ALBION II,"410",1.10,./0.png
57.38805,-20.551217,BAIE DU CAP,"855",2.70,./0.png
57.725667,-20.485167,BLUE BAY,"968",2.40,./0.png
57.572883,-19.8239,FLAT ISLAND,"750",9.60,./0.png
57.322283,-20.266583,FLIC EN FLAC I,"1241",2.50,./0.png
57.344083,-20.296517,FLIC EN FLAC II,"215",0.90,./0.png
57.925517,-20.3556,GRAND CARREAU,"260",8.20,./0.png
57.268,-20.295183,LA PRENEUSE,"2480",5.20,./0.png
57.486,-20.072417,MARITIM,"400",1.40,./0.png
57.290167,-20.21105,MEDINE,"2580",5.30,./0.png
57.505667,-20.023733,MON CHOISY,"590",1.70,./0.png
57.325167,-20.179017,POINTE AUX CAVES,"2400",4.40,./0.png
57.4037,-20.173383,POINTE AUX SABLES,"290",1.10,./0.png
57.265933,-20.046933,PORT LOUIS I,"3560",11.80,./0.png
57.2647,-20.103417,PORT LOUIS II,"3409",9.50,./0.png
57.76725,-20.038783,POUDRE D'OR II,"245",4.20,./0.png
57.55965,-19.940267,PTE AUX CANONNIERS,"450",3.30,./0.png
57.279517,-20.393267,RIVIERE NOIRE I,"968",4.50,./0.png
57.329667,-20.35115,RIVIERE NOIRE II,"480",2.20,./0.png
57.201983,-20.29835,RIVIERE NOIRE III,"3100",9.00,./0.png
57.81475,-20.042367,ROCHES NOIRES,"732",5.40,./0.png
57.5191,-20.563217,SOUILLAC,"1075",2.20,./0.png
57.335317,-20.343833,TAMARIN,"390",1.50,./0.png
57.464833,-20.07355,TOMBEAU BAY,"1050",2.60,./0.png
57.462917,-20.002683,TROU AUX BICHES,"2023",4.30,./0.png
57.40645,-20.022233,TROU AUX BICHES II,"2675",6.60,./0.png
57.85935,-20.2314,TROU D'EAU DOUCE,"992",2.80,./0.png
